# Pi-hole allowlist
# format: status|domain|comment

enabled|title.mgt.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|tkqlhce.com|
enabled|track.adform.net|
enabled|track.webgains.com|
enabled|tradetracker.net|
enabled|traffic.libsyn.com|Used in Pocketcasts app to serve and download podcasts. - qjz9zk
enabled|trk.klclick.com|Added from Query Log
enabled|tv.plex.provider.plex.tv|
enabled|tvdb2.plex.tv|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|tvthemes.plexapp.com|Plex is a client&ndash;server media player system plus an ancillary software suite. - qjz9zk
enabled|twimg.com|Owned by Twitter. Used to deliver media on Twitter. - qjz9zk
enabled|ui.skype.com|Used to make group calls, group chats etc. on Skype. - qjz9zk
enabled|video-stats.l.google.com|Used to record YouTube watch history. Blocking this domain will pause your watch history on YouTube. - qjz9zk
enabled|videos.vidible.tv|Video delivery systems, popular in entertainment and news sites. - qjz9zk
enabled|vidtech.cbsinteractive.com|Used to deliver videos over the internet. - qjz9zk
enabled|visitor-service.tealiumiq.com|Added from Query Log
enabled|vod-gcs-cedexis.cbsaavideo.com|
enabled|waws-prod-blu-o81.cloudapp.net|
enabled|widget-cdn.rpxnow.com|Owned by Akamai Technologies. Used as a sign in method in various apps and sites. - qjz9zk
enabled|win10.ipv6.microsoft.com|It gives full IPv6 connectivity for IPv6-capable hosts that are on the IPv4 Internet but have no native connection to an IPv6 network.  - qjz9zk
enabled|wp.com|Owned by WordPress.com hosting. - qjz9zk
enabled|ws.audioscrobbler.com|Owned by last.fm. Used to get track metadata using last.fm API. - qjz9zk
enabled|www.7eer.net|
enabled|www.affiliatefuture.com|
enabled|www.anrdoezrs.net|
enabled|www.apmebf.com|
enabled|www.avantlink.com|
enabled|www.bfast.com|
enabled|www.cc-dt.com|
enabled|www.cj.com|
enabled|www.dataplicity.com|Used to remotely control your Raspberry-Pi. - qjz9zk
enabled|www.doubleclick.net|
enabled|www.dpbolvw.net|
enabled|www.emjcd.com|
enabled|www.evyy.net|
enabled|www.googleadservices.com|
enabled|www.googleapis.com|An important domain used to provide APIs to various Google services.  - qjz9zk
enabled|www.gopjn.com|
enabled|www.jdoqocy.com|
enabled|www.kqzyfj.com|
enabled|www.linksynergy.com|
enabled|www.msftconnecttest.com|Owned by Microsoft. Used by Windows systems to check internet connectivity. Also known as Network Connectivity Status Indicator-NCSI. - qjz9zk
enabled|www.msftncsi.com|Owned by Microsoft. This domain is checked by the operating systems when connecting via wifi, and if they do not get the response they expect, they may try to open a wifi login page or similar as they believe they are located behind a captive portal. - qjz9zk
enabled|www.no-ip.com|No-IP offers DNS services, email, network monitoring and SSL certificates. - qjz9zk
enabled|www.ojrq.net|
enabled|www.onenetworkdirect.net|
enabled|www.pjatr.com|
enabled|www.pjtra.com|
enabled|www.plex.tv|
enabled|www.pntra.com|
enabled|www.pntrac.com|
enabled|www.pntrack.com|
enabled|www.qksrv.net|
enabled|www.tkqlhce.com|
enabled|www.tradetracker.net|
enabled|www.youtube-nocookie.com|Owned by Google. YouTube launched a new feature on the site recently that it called Privacy-Enhanced Mode. This domain is used to embed the videos on third-party sites with less trackers. - qjz9zk
enabled|wwwimage-secure.cbsstatic.com|
enabled|wwwimage-us.pplusstatic.com|
enabled|xbox.ipv6.microsoft.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|xboxexperiencesprod.experimentation.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|xflight.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|xkms.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|xsts.auth.xboxlive.com|Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk
enabled|youtu.be|YouTube URL shortner. Used while sharing videos, playlists, channels etc. - qjz9zk
enabled|youtube-nocookie.com|Owned by Google. YouTube launched a new feature on the site recently that it called Privacy-Enhanced Mode. This domain is used to embed the videos on third-party sites with less trackers. - qjz9zk
enabled|yt3.ggpht.com|Owned by Google. Used to deliver static files over the internet. - qjz9zk
enabled|zee.cws.conviva.com|Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk
